Copper Resistance (Ohms),Graphene Resistance (Ohms),Final Resistance (Ohms)
464170.0,2237422.921970852,286105.7270246576
446980.0,2236464.553459719,279435.80636935675
431010.0,2235508.525564574,273066.7449491488
416150.0,2234554.8306692624,266984.9850895356
402280.0,2233603.461188583,261168.0762969211
389300.0,2232654.40956814,255597.25178908667
377140.0,2231707.668284189,250262.94361465704
365710.0,2230763.229843489,245143.80854232816
354950.0,2229821.0867831577,240228.83435276695
344810.0,2228881.23167052,235509.4206257761
335230.0,2227943.657102964,230970.36689052652
326170.0,2227008.3557077907,226604.0105768859
317590.0,2226075.320142076,222401.27773575467
309450.0,2225144.54309252,218351.72677505988
301710.0,2224216.017275308,214443.59647912183
294350.0,2223289.7354359664,210674.10179258123
287340.0,2222365.69034922,207034.59994091862
280660.0,2221443.8748188526,203520.78699638863
274280.0,2220524.2816775665,200122.41178134753
268190.0,2219606.903786844,196839.13820689343
262360.0,2218691.734036806,193659.40425560225
256770.0,2217778.7653460763,190576.35107167173
251420.0,2216867.9906616453,187593.71927563119
246290.0,2215959.402958733,184703.94291061838
241370.0,2215052.995240651,181904.62465912354
236630.0,2214148.760538673,179181.6265492137
232080.0,2213246.6919118967,176543.26919137084
227710.0,2212346.782447111,173986.36690336975
223490.0,2211449.025258665,171495.7076598289
219420.0,2210553.413488336,169073.25785186788
215510.0,2209659.9403051976,166726.9417258323
211730.0,2208768.59890549,164440.71148793848
208080.0,2207879.3825124903,162216.1638912384
204550.0,2206992.284376383,160048.74998496956
201140.0,2206107.297774133,157939.88626693262
197840.0,2205224.416009359,155884.75888247477
194650.0,2204343.632412204,153884.61353614126
191560.0,2203464.940339212,151934.3853671801
188570.0,2202588.3331732,150035.15950911934
185670.0,2201713.804323137,148181.63435138646
182850.0,2200841.3472240167,146368.33739446642
180120.0,2199970.9553367356,144602.52244479719
177480.0,2199102.622147971,142885.09731248816
174900.0,2198236.3411700595,141197.4015908995
172410.0,2197372.1059408714,139559.65183853637
169980.0,2196509.9100236995,137952.95199184347
167620.0,2195649.7470071274,136384.46590808724
165320.0,2194791.61050492,134848.17685590303
163090.0,2193935.494155899,133351.29960087067
160910.0,2193081.3916238304,131881.0166631506
158790.0,2192229.2965973,130444.49590110766
156730.0,2191379.202789604,129042.24398645652
154720.0,2190531.1039386266,127667.95048152604
152760.0,2189684.9938067324,126322.01726090128
150850.0,2188840.866180643,125004.84077950497
148990.0,2187998.71487133,123716.81177421422
147180.0,2187158.533713896,122458.31496592869
145400.0,2186320.316567468,121215.82891872009
143670.0,2185484.0573150767,120003.51907416801
141980.0,2184649.7498635543,118814.75115032503
140330.0,2183817.388143416,117649.80991419575
138720.0,2182986.9661087543,116508.9761707363
137140.0,2182158.4777371264,115385.44763757147
135600.0,2181331.9170294455,114286.52689724066
134090.0,2180507.2780098743,113205.35587708009
132620.0,2179684.554725714,112149.2798709294
131180.0,2178863.741247299,111111.38620807308
129770.0,2178044.8316678894,110091.86354732313
128390.0,2177227.8201035615,109090.89823210926
127040.0,2176412.700693111,108108.6742003813
125710.0,2175599.467597936,107138.10944059385
124420.0,2174788.115001943,106193.88844167702
123150.0,2173978.637111436,105261.63984074991
121900.0,2173171.028155015,104341.4751652843
120680.0,2172365.282383474,103440.85221898255
119490.0,2171561.394069699,102559.94118713296
118320.0,2170759.357508566,101691.52262180517
117170.0,2169959.167016835,100835.7028216895
116040.0,2169160.8169330596,99992.58704222899
114940.0,2168364.3016174748,99169.7237116705
113850.0,2167569.6154519063,98352.34605774404
112790.0,2166776.7528396687,97555.46243977963
111740.0,2165985.708205464,96764.2294437771
110720.0,2165196.4759952896,95993.72621670156
109710.0,2164409.050676334,95229.0347669887
1077900.0,2163623.426736886,432097.4504004613
988050.0,2162839.5986862346,416812.5611234959
912050.0,2162057.561054571,402576.7740506439
846900.0,2161277.308392901,389280.0055012514
790440.0,2160498.835272941,376834.2825315721
741040.0,2159722.1362870294,365160.42378609837
697450.0,2158947.2060480304,354187.82923858153
658700.0,2158174.0391892414,343854.62263472413
624030.0,2157402.6303643007,334107.5631411489
592830.0,2156632.9742470914,324898.79845941084
564600.0,2155865.0655316543,316183.7186558129
538940.0,2155098.898932094,307925.2316160079
515510.0,2154334.469182488,300086.90441279224
494030.0,2153571.771036796,292636.97479259834
474270.0,2152810.799268772,285548.6180128502
456020.0,2152051.5486718686,278791.8887387583
439130.0,2151294.014059159,272350.47544393776
423450.0,2150538.190263237,266201.45003829943
408850.0,2149784.072136133,260323.53407989995
395220.0,2149031.654549232,254698.29852252337
