Ncht,Nchb,Nchl,Nchr,Lg
3.207920792079207786e+02,3.207920792079207786e+02,1.236963696369637056e+01,1.236963696369637056e+01,1.360243193762687734e-06
3.210621062106210388e+02,3.210621062106210388e+02,1.237443744374437493e+01,1.237443744374437493e+01,1.359692624164288827e-06
3.213321332133212991e+02,3.213321332133212991e+02,1.237923792379237753e+01,1.237923792379237753e+01,1.359142520015429673e-06
3.216021602160215593e+02,3.216021602160215593e+02,1.238403840384038546e+01,1.238403840384038546e+01,1.358592880678037178e-06
3.218721872187218764e+02,3.218721872187218764e+02,1.238883888388838805e+01,1.238883888388838805e+01,1.358043705515353052e-06
3.221422142214221367e+02,3.221422142214221367e+02,1.239363936393639243e+01,1.239363936393639243e+01,1.357494993891926827e-06
3.224122412241223969e+02,3.224122412241223969e+02,1.239843984398439858e+01,1.239843984398439858e+01,1.356946745173615426e-06
3.226822682268226572e+02,3.226822682268226572e+02,1.240324032403240118e+01,1.240324032403240118e+01,1.356398958727577666e-06
3.229522952295229175e+02,3.229522952295229175e+02,1.240804080408040733e+01,1.240804080408040733e+01,1.355851633922269381e-06
3.232223222322232346e+02,3.232223222322232346e+02,1.241284128412841348e+01,1.241284128412841348e+01,1.355304770127442153e-06
3.234923492349234948e+02,3.234923492349234948e+02,1.241764176417641607e+01,1.241764176417641607e+01,1.354758366714137810e-06
3.237623762376237551e+02,3.237623762376237551e+02,1.242244224422442223e+01,1.242244224422442223e+01,1.354212423054682914e-06
3.240324032403240153e+02,3.240324032403240153e+02,1.242724272427242482e+01,1.242724272427242482e+01,1.353666938522689825e-06
3.243024302430242756e+02,3.243024302430242756e+02,1.243204320432043097e+01,1.243204320432043097e+01,1.353121912493048015e-06
3.245724572457245927e+02,3.245724572457245927e+02,1.243684368436843712e+01,1.243684368436843712e+01,1.352577344341923437e-06
3.248424842484248529e+02,3.248424842484248529e+02,1.244164416441644150e+01,1.244164416441644150e+01,1.352033233446752803e-06
3.251125112511251132e+02,3.251125112511251132e+02,1.244644464446444765e+01,1.244644464446444765e+01,1.351489579186240412e-06
