Length (nm), Thickness (nm), Width (nm), Inductance (H)
53.030303, 10.000000, 100.000000, 1.839746354723e-07
53.030303, 10.000000, 110.000000, 1.748695029315e-07
53.030303, 10.000000, 120.000000, 1.671581042539e-07
53.030303, 10.000000, 130.000000, 1.606336526803e-07
53.030303, 10.000000, 140.000000, 1.551322212401e-07
53.030303, 20.000000, 50.000000, 2.411830887923e-07
53.030303, 20.000000, 60.000000, 2.227739531246e-07
53.030303, 20.000000, 70.000000, 2.075144888504e-07
53.030303, 20.000000, 80.000000, 1.947395285760e-07
53.030303, 20.000000, 90.000000, 1.839746354723e-07
53.030303, 20.000000, 100.000000, 1.748695029315e-07
53.030303, 20.000000, 110.000000, 1.671581042539e-07
53.030303, 20.000000, 120.000000, 1.606336526803e-07
53.030303, 20.000000, 130.000000, 1.551322212401e-07
53.030303, 20.000000, 140.000000, 1.505216598697e-07
53.030303, 30.000000, 50.000000, 2.227739531246e-07
53.030303, 30.000000, 60.000000, 2.075144888504e-07
53.030303, 30.000000, 70.000000, 1.947395285760e-07
53.030303, 30.000000, 80.000000, 1.839746354723e-07
53.030303, 30.000000, 90.000000, 1.748695029315e-07
53.030303, 30.000000, 100.000000, 1.671581042539e-07
53.030303, 30.000000, 110.000000, 1.606336526803e-07
53.030303, 30.000000, 120.000000, 1.551322212401e-07
53.030303, 30.000000, 130.000000, 1.505216598697e-07
53.030303, 30.000000, 140.000000, 1.466938783636e-07
53.030303, 40.000000, 50.000000, 2.075144888504e-07
53.030303, 40.000000, 60.000000, 1.947395285760e-07
53.030303, 40.000000, 70.000000, 1.839746354723e-07
53.030303, 40.000000, 80.000000, 1.748695029315e-07
53.030303, 40.000000, 90.000000, 1.671581042539e-07
53.030303, 40.000000, 100.000000, 1.606336526803e-07
53.030303, 40.000000, 110.000000, 1.551322212401e-07
53.030303, 40.000000, 120.000000, 1.505216598697e-07
53.030303, 40.000000, 130.000000, 1.466938783636e-07
53.030303, 40.000000, 140.000000, 1.435593384527e-07
53.030303, 50.000000, 50.000000, 1.947395285760e-07
53.030303, 50.000000, 60.000000, 1.839746354723e-07
53.030303, 50.000000, 70.000000, 1.748695029315e-07
53.030303, 50.000000, 80.000000, 1.671581042539e-07
53.030303, 50.000000, 90.000000, 1.606336526803e-07
53.030303, 50.000000, 100.000000, 1.551322212401e-07
53.030303, 50.000000, 110.000000, 1.505216598697e-07
53.030303, 50.000000, 120.000000, 1.466938783636e-07
53.030303, 50.000000, 130.000000, 1.435593384527e-07
53.030303, 50.000000, 140.000000, 1.410430370558e-07
53.030303, 60.000000, 50.000000, 1.839746354723e-07
53.030303, 60.000000, 60.000000, 1.748695029315e-07
53.030303, 60.000000, 70.000000, 1.671581042539e-07
53.030303, 60.000000, 80.000000, 1.606336526803e-07
53.030303, 60.000000, 90.000000, 1.551322212401e-07
53.030303, 60.000000, 100.000000, 1.505216598697e-07
53.030303, 60.000000, 110.000000, 1.466938783636e-07
53.030303, 60.000000, 120.000000, 1.435593384527e-07
53.030303, 60.000000, 130.000000, 1.410430370558e-07
53.030303, 60.000000, 140.000000, 1.390815210355e-07
53.030303, 70.000000, 50.000000, 1.748695029315e-07
53.030303, 70.000000, 60.000000, 1.671581042539e-07
53.030303, 70.000000, 70.000000, 1.606336526803e-07
53.030303, 70.000000, 80.000000, 1.551322212401e-07
53.030303, 70.000000, 90.000000, 1.505216598697e-07
53.030303, 70.000000, 100.000000, 1.466938783636e-07
53.030303, 70.000000, 110.000000, 1.435593384527e-07
53.030303, 70.000000, 120.000000, 1.410430370558e-07
53.030303, 70.000000, 130.000000, 1.390815210355e-07
53.030303, 70.000000, 140.000000, 1.376206310587e-07
53.030303, 80.000000, 50.000000, 1.671581042539e-07
53.030303, 80.000000, 60.000000, 1.606336526803e-07
53.030303, 80.000000, 70.000000, 1.551322212401e-07
53.030303, 80.000000, 80.000000, 1.505216598697e-07
53.030303, 80.000000, 90.000000, 1.466938783636e-07
53.030303, 80.000000, 100.000000, 1.435593384527e-07
53.030303, 80.000000, 110.000000, 1.410430370558e-07
53.030303, 80.000000, 120.000000, 1.390815210355e-07
53.030303, 80.000000, 130.000000, 1.376206310587e-07
53.030303, 80.000000, 140.000000, 1.366137707889e-07
53.030303, 90.000000, 50.000000, 1.606336526803e-07
53.030303, 90.000000, 60.000000, 1.551322212401e-07
53.030303, 90.000000, 70.000000, 1.505216598697e-07
53.030303, 90.000000, 80.000000, 1.466938783636e-07
53.030303, 90.000000, 90.000000, 1.435593384527e-07
53.030303, 90.000000, 100.000000, 1.410430370558e-07
53.030303, 90.000000, 110.000000, 1.390815210355e-07
53.030303, 90.000000, 120.000000, 1.376206310587e-07
53.030303, 90.000000, 130.000000, 1.366137707889e-07
53.030303, 90.000000, 140.000000, 1.360205611319e-07
53.030303, 100.000000, 50.000000, 1.551322212401e-07
53.030303, 100.000000, 60.000000, 1.505216598697e-07
53.030303, 100.000000, 70.000000, 1.466938783636e-07
53.030303, 100.000000, 80.000000, 1.435593384527e-07
53.030303, 100.000000, 90.000000, 1.410430370558e-07
53.030303, 100.000000, 100.000000, 1.390815210355e-07
53.030303, 100.000000, 110.000000, 1.376206310587e-07
53.030303, 100.000000, 120.000000, 1.366137707889e-07
53.030303, 100.000000, 130.000000, 1.360205611319e-07
53.030303, 100.000000, 140.000000, 1.358057811052e-07
54.545455, 10.000000, 50.000000, 2.679674001511e-07
54.545455, 10.000000, 60.000000, 2.452039308523e-07
54.545455, 10.000000, 70.000000, 2.265643189941e-07
54.545455, 10.000000, 80.000000, 2.110743785295e-07
54.545455, 10.000000, 90.000000, 1.980689420646e-07
