Wgr,Rgrr,Rgrt,Rgrb,Rgrl,Rgr
7.095799999999783264e-07,8.096472849829359353e+07,3.562448053924917709e+06,3.562448053924917709e+06,8.096472849829359353e+07,1.706153282531090779e+06
7.097599999999783187e-07,8.096335933364103734e+07,3.562387810680205002e+06,3.562387810680205002e+06,8.096335933364103734e+07,1.706124430402396945e+06
7.099399999999783111e-07,8.096199121030205488e+07,3.562327613253289834e+06,3.562327613253289834e+06,8.096199121030205488e+07,1.706095600217092549e+06
7.101199999999783034e-07,8.096062412722097337e+07,3.562267461597722489e+06,3.562267461597722489e+06,8.096062412722097337e+07,1.706066791952932486e+06
7.102999999999782958e-07,8.095925808334343135e+07,3.562207355667110533e+06,3.562207355667110533e+06,8.095925808334343135e+07,1.706038005587696331e+06
7.104799999999782881e-07,8.095789307761642337e+07,3.562147295415122062e+06,3.562147295415122062e+06,8.095789307761642337e+07,1.706009241099196719e+06
7.106599999999782805e-07,8.095652910898827016e+07,3.562087280795482919e+06,3.562087280795482919e+06,8.095652910898827016e+07,1.705980498465269571e+06
7.108399999999782728e-07,8.095516617640857399e+07,3.562027311761976220e+06,3.562027311761976220e+06,8.095516617640857399e+07,1.705951777663782006e+06
7.110199999999782652e-07,8.095380427882832289e+07,3.561967388268445618e+06,3.561967388268445618e+06,8.095380427882832289e+07,1.705923078672626987e+06
7.111999999999782575e-07,8.095244341519983113e+07,3.561907510268792044e+06,3.561907510268792044e+06,8.095244341519983113e+07,1.705894401469727978e+06
7.113799999999782499e-07,8.095108358447672427e+07,3.561847677716975100e+06,3.561847677716975100e+06,8.095108358447672427e+07,1.705865746033034055e+06
7.115599999999782422e-07,8.094972478561392426e+07,3.561787890567012131e+06,3.561787890567012131e+06,8.094972478561392426e+07,1.705837112340523163e+06
7.117399999999782346e-07,8.094836701756773889e+07,3.561728148772980087e+06,3.561728148772980087e+06,8.094836701756773889e+07,1.705808500370201189e+06
7.119199999999782269e-07,8.094701027929574251e+07,3.561668452289012261e+06,3.561668452289012261e+06,8.094701027929574251e+07,1.705779910100101726e+06
7.120999999999782193e-07,8.094565456975682080e+07,3.561608801069299690e+06,3.561608801069299690e+06,8.094565456975682080e+07,1.705751341508285375e+06
7.122799999999782116e-07,8.094429988791123033e+07,3.561549195068093482e+06,3.561549195068093482e+06,8.094429988791123033e+07,1.705722794572841842e+06
7.124599999999782039e-07,8.094294623272047937e+07,3.561489634239700157e+06,3.561489634239700157e+06,8.094294623272047937e+07,1.705694269271886908e+06
7.126399999999781963e-07,8.094159360314743221e+07,3.561430118538486771e+06,3.561430118538486771e+06,8.094159360314743221e+07,1.705665765583566623e+06
7.128199999999781886e-07,8.094024199815624952e+07,3.561370647918874398e+06,3.561370647918874398e+06,8.094024199815624952e+07,1.705637283486050786e+06
7.129999999999781810e-07,8.093889141671235859e+07,3.561311222335343249e+06,3.561311222335343249e+06,8.093889141671235859e+07,1.705608822957539931e+06
7.131799999999781733e-07,8.093754185778257251e+07,3.561251841742432676e+06,3.561251841742432676e+06,8.093754185778257251e+07,1.705580383976260666e+06
7.133599999999781657e-07,8.093619332033495605e+07,3.561192506094737444e+06,3.561192506094737444e+06,8.093619332033495605e+07,1.705551966520468239e+06
7.135399999999781580e-07,8.093484580333885550e+07,3.561133215346909128e+06,3.561133215346909128e+06,8.093484580333885550e+07,1.705523570568443043e+06
7.137199999999781504e-07,8.093349930576495826e+07,3.561073969453657977e+06,3.561073969453657977e+06,8.093349930576495826e+07,1.705495196098495042e+06
7.138999999999781427e-07,8.093215382658526301e+07,3.561014768369751051e+06,3.561014768369751051e+06,8.093215382658526301e+07,1.705466843088961439e+06
7.140799999999781351e-07,8.093080936477297544e+07,3.560955612050010357e+06,3.560955612050010357e+06,8.093080936477297544e+07,1.705438511518204119e+06
7.142599999999781274e-07,8.092946591930273175e+07,3.560896500449319370e+06,3.560896500449319370e+06,8.092946591930273175e+07,1.705410201364616631e+06
