Copper Inductance (H),Graphene Inductance (H),Final Inductance (H)
1.3316898208442195e-06,2.039132839968e-07,1.768355662849278e-07
1.3311630704817165e-06,1.913823573358e-07,1.6732579650666867e-07
1.3306367534741032e-06,1.808614978455e-07,1.5922013545929825e-07
1.3301108692479008e-06,1.720003989182e-07,1.523053617694949e-07
1.3295854172307577e-06,1.645330338541e-07,1.4641457797827674e-07
1.3290603968514464e-06,1.582526158939e-07,1.4141427035220723e-07
1.3285358075398576e-06,1.529952180671e-07,1.3719565913325328e-07
1.3280116487270028e-06,1.486286903102e-07,1.336687254498815e-07
1.3274879198450055e-06,1.450449424175e-07,1.3075797072399803e-07
1.3269646203271008e-06,1.421544361201e-07,1.2839933327806572e-07
1.3264417496076325e-06,1.913823573358e-07,1.6725096652980794e-07
1.3259193071220476e-06,1.808614978455e-07,1.5915238043766155e-07
1.3253972923068972e-06,1.720003989182e-07,1.522433648307388e-07
1.32487570459983e-06,1.645330338541e-07,1.463572849610625e-07
1.3243545434395903e-06,1.582526158939e-07,1.413608247814648e-07
1.3238338082660164e-06,1.529952180671e-07,1.371453557377286e-07
1.3233134985200348e-06,1.486286903102e-07,1.3362097618191562e-07
1.3227936136436583e-06,1.450449424175e-07,1.3071227944579693e-07
1.3222741530799847e-06,1.421544361201e-07,1.283552765996882e-07
1.3217551162731925e-06,1.398821683366e-07,1.2649511176341425e-07
1.3212365026685356e-06,1.808614978455e-07,1.59084702062719e-07
1.3207183117123466e-06,1.720003989182e-07,1.5218143569536804e-07
1.320200542852025e-06,1.645330338541e-07,1.4630005276311425e-07
1.319683195536043e-06,1.582526158939e-07,1.4130743448373334e-07
1.3191662692139363e-06,1.529952180671e-07,1.3709510319951755e-07
1.3186497633363044e-06,1.486286903102e-07,1.3357327425851212e-07
1.3181336773548069e-06,1.450449424175e-07,1.3066663273158503e-07
1.3176180107221585e-06,1.421544361201e-07,1.2831126230740286e-07
1.3171027628921312e-06,1.398821683366e-07,1.2645236504958364e-07
1.316587933319546e-06,1.381646859297e-07,1.2504253706022132e-07
1.3160735214602724e-06,1.720003989182e-07,1.5211957389809914e-07
1.3155595267712272e-06,1.645330338541e-07,1.4624288096136668e-07
1.3150459487103675e-06,1.582526158939e-07,1.4125409906985824e-07
1.3145327867366912e-06,1.529952180671e-07,1.3704490115677357e-07
1.3140200403102331e-06,1.486286903102e-07,1.3352561933980036e-07
1.3135077088920625e-06,1.450449424175e-07,1.3062103025909636e-07
1.3129957919442792e-06,1.421544361201e-07,1.2826729009291362e-07
1.3124842889300126e-06,1.398821683366e-07,1.264096587501596e-07
1.3119731993134168e-06,1.381646859297e-07,1.2500077880589413e-07
1.31146252255967e-06,1.369478295664e-07,1.239993526410464e-07
1.3109522581349688e-06,1.645330338541e-07,1.4618576914315163e-07
1.3104424055065284e-06,1.582526158939e-07,1.4120081816030217e-07
1.309932964142578e-06,1.529952180671e-07,1.3699474925663275e-07
1.3094239335123605e-06,1.486286903102e-07,1.3347801109437653e-07
1.3089153130861255e-06,1.450449424175e-07,1.30575471714115e-07
1.3084071023351305e-06,1.421544361201e-07,1.2822335965564067e-07
1.307899300731636e-06,1.398821683366e-07,1.2636699257520428e-07
1.3073919077489043e-06,1.381646859297e-07,1.2495905944538893e-07
1.3068849228611963e-06,1.369478295664e-07,1.2395830014104627e-07
1.3063783455437664e-06,1.3618500291e-07,1.2332847564727985e-07
1.3058721752728645e-06,1.582526158939e-07,1.4114759138481788e-07
1.3053664115257293e-06,1.529952180671e-07,1.3694464715490806e-07
1.304861053780588e-06,1.486286903102e-07,1.334304491990157e-07
1.3043561015166516e-06,1.450449424175e-07,1.3052995679020134e-07
1.3038515542141155e-06,1.421544361201e-07,1.2817947070245817e-07
1.303347411354154e-06,1.398821683366e-07,1.2632436624197997e-07
1.3028436724189167e-06,1.381646859297e-07,1.249173787038564e-07
1.3023403368915308e-06,1.369478295664e-07,1.239172853987905e-07
1.3018374042560927e-06,1.3618500291e-07,1.2328787771558388e-07
1.3013348739976705e-06,1.358358268664e-07,1.2299714886566906e-07
1.3008327456022967e-06,1.529952180671e-07,1.3689459451579623e-07
1.3003310185569707e-06,1.486286903102e-07,1.3338293333839558e-07
1.2998296923496516e-06,1.450449424175e-07,1.3048448518842955e-07
1.2993287664692577e-06,1.421544361201e-07,1.2813562294744291e-07
1.2988282404056643e-06,1.398821683366e-07,1.2628177947470623e-07
1.2983281136497015e-06,1.381646859297e-07,1.2487573631321604e-07
1.29782838569315e-06,1.369478295664e-07,1.2387630815178343e-07
1.2973290560287388e-06,1.3618500291e-07,1.2324731673807158e-07
1.296830124150145e-06,1.358358268664e-07,1.2295678004645815e-07
1.2963315895519893e-06,1.358650804533e-07,1.2297626394284582e-07
1.2958334517298322e-06,2.637160819006e-07,2.1912232559257857e-07
1.2953357101801756e-06,2.411830887923e-07,2.033252491366483e-07
1.2948383644004572e-06,2.227739531246e-07,1.9007243006916255e-07
1.294341413889047e-06,2.075144888504e-07,1.7884178928961294e-07
1.2938448581452495e-06,1.94739528576e-07,1.692633215646307e-07
1.293348696669297e-06,1.839746354723e-07,1.6106383066689563e-07
1.2928529289623483e-06,1.748695029315e-07,1.540349483924293e-07
1.2923575545264878e-06,1.671581042539e-07,1.4801351224513273e-07
1.2918625728647197e-06,1.606336526803e-07,1.4286894533055584e-07
